periodo_academico: 202264, curso_codigo: ADMI_1009, curso_nombre: ADMINISTRACION I, identificador_estudiante: 19585, nombre_completo: Jesús Manuel Fernández Martínez, final_nota: 9.11
periodo_academico: 202264, curso_codigo: ADMI_1026, curso_nombre: ADMINISTRACION, identificador_estudiante: 112592, nombre_completo: Javier Víctor Castro Ortíz, final_nota: 9.21
periodo_academico: 202264, curso_codigo: ADMI_1030, curso_nombre: VALIDACION DE PRODUCTO, identificador_estudiante: 19585, nombre_completo: Jesús Manuel Fernández Martínez, final_nota: 9.28
periodo_academico: 202264, curso_codigo: ADMI_1109, curso_nombre: ADMINISTRACION, identificador_estudiante: 217098, nombre_completo: Marcos Francisco Blanco García, final_nota: 10.00
periodo_academico: 202264, curso_codigo: ADMI_1110, curso_nombre: LEGISLACION EMPRESARIAL, identificador_estudiante: 12163, nombre_completo: Isabel Laura González Hernández, final_nota: 10.00
periodo_academico: 202264, curso_codigo: ADMI_1111, curso_nombre: GESTION INNOVACION EMPRESARIAL, identificador_estudiante: 107774, nombre_completo: Esther Ángela Gil Álvarez, final_nota: 8.71
periodo_academico: 202264, curso_codigo: ADMI_1113, curso_nombre: FUNDAMENTOS DE ADMINISTRACION, identificador_estudiante: 69117, nombre_completo: Esther Ángela Alonso Navarro, final_nota: 9.71
periodo_academico: 202264, curso_codigo: ADMI_1115, curso_nombre: FUNDAMENTOS DE ADMINIST FINAN, identificador_estudiante: 99112, nombre_completo: Marcos Sergio Díaz Álvarez, final_nota: 9.85
periodo_academico: 202264, curso_codigo: ADMI_1117, curso_nombre: MANAGEMENT 3.0, identificador_estudiante: 18682, nombre_completo: Ana Antonia Gómez Sanz, final_nota: 9.95
periodo_academico: 202264, curso_codigo: ADMI_1127, curso_nombre: ECONOMIA POPULAR Y SOLIDARIA, identificador_estudiante: 225222, nombre_completo: Francisco Rubén Lozano Rubio, final_nota: 9.55
periodo_academico: 202264, curso_codigo: ADMI_2029, curso_nombre: PRACTICUM 1, identificador_estudiante: 145204, nombre_completo: Alba Julia Blanco González, final_nota: 10.00
periodo_academico: 202264, curso_codigo: ADMI_2030, curso_nombre: ADMIN DE CAD DE SUM Y LOG EMPR, identificador_estudiante: 183878, nombre_completo: Alba Alicia Guerrero Moreno, final_nota: 10.00
periodo_academico: 202264, curso_codigo: ADMI_3023, curso_nombre: PASANTIAS PRE-PROF PRACTICUM 1, identificador_estudiante: 196808, nombre_completo: Luis Manuel Cortés Lozano, final_nota: 9.55
periodo_academico: 202264, curso_codigo: ADMI_3024, curso_nombre: SOSTENIBILIDAD EMPRESARIAL, identificador_estudiante: 5558, nombre_completo: Francisco Fernando Díaz Medina, final_nota: 10.00
periodo_academico: 202264, curso_codigo: ADMI_3025, curso_nombre: DESARROLLO EMPRES NUEVOS NEGOC, identificador_estudiante: 197026, nombre_completo: Cristina Eva Cruz Gutiérrez, final_nota: 9.78
periodo_academico: 202264, curso_codigo: ADMI_3026, curso_nombre: INVESTIGACION DE MERCADOS, identificador_estudiante: 246320, nombre_completo: Mario Sergio Marín Sánchez, final_nota: 10.00
periodo_academico: 202264, curso_codigo: ADMI_3027, curso_nombre: PRACTICUM 2, identificador_estudiante: 101315, nombre_completo: Carmen Irene Ortíz Ruiz, final_nota: 10.00
